Genotype,low,medium,high,obs_low,obs_medium,obs_high
R10_O1,0.028013908246882213,0.018077288794485558,0.30792526460653913,-0.2569821169853762,-0.0217128480250817,0.0392287291720483
R10_O10,0.2220022962238244,0.12602532059171456,0.25404001109838226,0.437686338604938,0.4257222434895749,0.3309633767025194
R10_O2,0.09766638386501847,0.007935790493061479,0.19859183760156252,0.1724246729133534,0.2330012247928528,0.1850126801119139
R10_O3,0.0930435280218429,0.058146328344049314,0.25134107591578403,-0.0029948700412519,0.066212389331713,0.1683014645355156
R10_O4,0.04767920317211205,-0.031578935925938634,0.1619699084057924,0.0336834486902401,0.0143038558956049,0.0503660672457973
R10_O5,0.10741404129897836,-0.006799428381296435,0.22267095993986152,-0.1744185819640707,0.0767703805231345,0.1814396456303784
R10_O6,0.12213860537571963,0.024692202368663985,0.18111531746690845,0.0672479430870194,0.169097202996043,-0.004422327743471
R10_O7,0.11326389649696122,0.0971373119115364,0.23618206003300268,0.0912735918213834,0.1352347214524583,0.1337107144776528
R10_O8,0.17402328858377247,0.11702341372609504,0.2725845661981847,0.1679281534589199,0.1988135575089022,0.2083797153632906
R10_O9,0.0846626934040724,0.06630967189251402,0.22965926248924973,0.0347756126234169,0.0725614821489523,0.2600345765565281
R10_S1,0.12429602063345202,0.08303435763868383,0.2023138117430161,-0.1319364929918146,0.0303111470990867,0.007336945762073
R10_S10,0.1328658731412814,0.06363596011833328,0.15932477697898695,-0.0676001636072174,-0.0747978590702237,0.0476923612547917
R10_S2,0.16720150997458283,0.0879130402645707,0.3848727736918651,0.1285522700751842,0.2577501412481605,0.47169931826275
R10_S3,0.0013063434579465572,-0.08214268968299887,0.005077529545736481,-0.1685435942891254,-0.1360500873262313,-0.0273305147443295
R10_S4,0.23069307040632642,0.11057863726053341,0.2120292026511874,-0.3348480533696324,-0.190877485480445,0.0265177010460194
R10_S5,0.10001327710643282,0.07787305917212695,0.2338609727223528,-0.0135059870996626,0.0432276453463101,-0.0163350442650464
R10_S6,0.12252736841060508,0.047886402094575065,0.11574466593991406,-0.388622950156079,-0.2497222870734288,-0.0542283685705014
R10_S7,0.16013638641100725,0.12303928639181377,0.11783414083608196,-0.0727698708593356,-0.0094267790770611,0.1594094619378095
R10_S8,0.18780168446050843,0.04936529222318087,0.16811440780455925,-0.1213922641404881,-0.0353115411899933,0.0111535942114884
R10_S9,0.06858841509899494,0.05080920853812165,0.02831730210923561,-0.225359586037864,-0.1772116719083514,-0.0237479677092325
R1_O1,-0.1290105214070032,-0.10229260107465321,0.09058015090265648,-0.2001300113397192,0.0003829166837305,-0.2469695260284916
R1_O10,0.2738591863618687,-0.0980185055783811,0.03220208864339624,0.30205084097656,0.2329006823672519,-0.0427930398488742
R1_O2,0.24879383579880843,-0.1538379997952548,-0.006725400382051827,0.4464345381059539,0.1815289690665173,-0.0245550312281065
R1_O3,0.01825360376722629,-0.15429249019563485,0.05182033466105995,-0.2303647758395257,-0.2321407311345123,-0.2831650387026733
R1_O4,-0.12067734118223816,-0.16575661730183944,-0.032702192245100514,-0.3646788712598803,-0.1467426551022455,-0.3544808574924954
R1_O5,-0.06760792591636533,-0.09312728953668414,0.005255174698509002,0.0478370044176476,0.1154771083917037,-0.2632563051587717
R1_O6,0.005830864238252742,-0.15929070884714847,-0.024942823276029147,0.0380908102132057,0.1667643056531693,-0.343251743181369
R1_O7,0.041249743497539626,-0.09883153769191222,0.018161834233548335,0.0425579181936733,0.0961674099868131,-0.0982579956326039
R1_O8,0.14628369975679023,-0.09365525816695319,0.03246106997416587,0.2427549701385764,0.0997398035874214,-0.0462244138512779
R1_O9,-0.03795994150581161,-0.126012216064058,0.025038557824902608,0.0551612803877397,0.0304674196598335,-0.1544927285487075
R1_S1,-0.03103080250041118,-0.5142718215183463,-0.1457542207613368,0.0084967516378811,0.0546566907101526,-0.018665441639281
R1_S10,-0.007813632694282091,-0.5111951970857007,-0.4202261436325323,0.0324189561895135,-0.117478395936169,-0.0034418693864764
R1_S2,0.003468613732404563,-0.47515540067984197,0.09052771207956545,0.1012256533810533,-0.0427024442072935,-0.2668699328470317
R1_S3,-0.17084538645986458,-0.6591575166124741,-0.580620954230903,-0.4103831369911904,-0.5652447701307343,-0.1935914059666684
R1_S4,0.09341757382792856,-0.44817965506782587,-0.1828366965189161,-0.2526957015354848,-0.1483949481876858,-0.2252024654488559
R1_S5,0.056126446536082064,-0.4974066020666923,-0.23299180726524513,-0.1498764311204121,-0.1473707587356172,-0.3738343803996172
R1_S6,-0.04178605450183462,-0.5422344784752529,-0.3372471965372502,0.2659357501009809,0.1692818386311767,-0.0098013941456239
R1_S7,0.05224588530734853,-0.44354766117032074,-0.3619745412475978,0.0735021115751689,-0.0820752242410478,0.0774619601088564
R1_S8,0.02117577444399288,-0.5331661930855155,-0.27572646951030966,-0.2769453412825254,-0.4442595700055088,-0.2753853452767754
R1_S9,0.00446301839293356,-0.5379412302421476,-0.4638470257256522,-0.1466134443106468,-0.3043713486932568,-0.2529014834654777
R2_O1,-0.21933878103254112,-0.15527060132947468,-0.02533065426448755,-0.4100981908892691,-0.207491101931681,-0.2851722491171267
R2_O10,-0.004866327987488095,-0.14624860467457546,-0.0990748442770093,0.1351305180979927,0.0127838733509193,-0.1036999483202179
R2_O2,-0.1629911129985917,-0.32351748942964287,-0.18992410149438932,-0.0850871507829413,-0.0945647114763,-0.1645646252067221
R2_O3,-0.13661460250434887,-0.13515588425832514,-0.08001430741978144,-0.4707294559036164,-0.3735508067511254,-0.3073889171367136
R2_O4,-0.20966469749292704,-0.21647384196781072,-0.18421065199244224,-0.2938675357753359,-0.3208418283552053,-0.3331126657846643
R2_O5,-0.17516709077795078,-0.19631692120197552,-0.1186463748504123,-0.1423411180887558,-0.1135280138182958,-0.1859346775657324
R2_O6,-0.10965834618052717,-0.17060034494163534,-0.16320140374282976,-0.1834161736870037,-0.065504860799136,-0.4391785822011863
R2_O7,-0.09181105069864581,-0.11010904968326818,-0.1232981907869064,-0.2024094408985859,-0.17506757671852,-0.2284593977092204
R2_O8,-0.041747538443349,-0.135290585152827,-0.09574505841910308,-0.0700248509076915,-0.1894406685080112,-0.1997342763347855
R2_O9,-0.1419341585303886,-0.14375861865948392,-0.10155152372024423,-0.2851148790087288,-0.1848966517726867,-0.1218712420804336
R2_S1,-0.10921436769041981,-0.2829802213966631,-0.18078327854410586,-0.486172780899411,-0.3147459598190064,-0.3660338337061306
R2_S10,-0.10095298886445625,-0.23776591211225429,-0.27349016013222827,-0.3926432063570349,-0.4025250390771452,-0.2906710156157371
