Genotype,low,medium,high,obs_low,obs_medium,obs_high
R3_O1,-0.13195782058383476,-0.09819966638486455,0.11945783657448006,-0.2326711914759807,-0.0378458756745471,-0.0412748720286539
R4_O10,0.012873218281069354,-0.10753784469487582,-0.0877804239794977,0.1087886388582799,0.0044051286513593,-0.0019643304476079
S9_O9,-0.06958759862637587,-0.09327098332597394,-0.09042248880458459,-0.066554408297981,-0.0711409950538532,-0.0105815040091246
S10_O1,-0.11207165402776575,-0.1480163288211649,0.08905179369585858,-0.2726573611963354,-0.0530171546258348,0.1402551874078701
S8_O10,0.05624448855733388,-0.16360744769837776,-0.0640119726050028,0.3796870547665526,0.3375025712426356,0.1868902825923615
R9_O3,-0.10141589268838502,-0.040836344593612406,0.013208413267705943,-0.3503787012189673,-0.1758920658913005,-0.1193506261992828
R4_O1,-0.18892896255562053,-0.09167461510384145,0.0010978394326326413,-0.6883073954509349,-0.3373709638349276,-0.1660264183184212
S3_O10,-0.08514111163803761,-0.2467415509743207,-0.28249058564590235,-0.1335638554566142,-0.1311484110120115,-0.1358494078944092
R9_S3,-0.2695977062938647,-0.6862295227588167,-0.523257698065494,-0.4403956523567129,-0.3962670285504713,-0.3046319214560323
R10_O3,0.0930435280218429,0.058146328344049314,0.25134107591578403,-0.0029948700412519,0.066212389331713,0.1683014645355156
S7_O6,-0.02769712361919674,-0.151198901599795,-0.1223440873676811,0.0120469194093804,0.0904153754145085,0.0672655686745823
S1_O4,-0.08384862437920693,-0.19717700743825795,-0.008884768087928485,-0.0813908174508818,0.0099600945044938,0.0421027073628063
R7_O7,-0.029415301845514552,-0.007468565958137496,-0.034643075061331796,-0.0568969256124928,-0.054729042943897,-0.2114933803198678
R2_O8,-0.041747538443349,-0.135290585152827,-0.09574505841910308,-0.0700248509076915,-0.1894406685080112,-0.1997342763347855
R5_O3,-0.14417403446401944,-0.2861289497095998,-0.08166677536557843,-0.3544035024024884,-0.2768171410131327,-0.2660429843025604
R6_O2,-0.21231206012374626,-0.2950742205754422,-0.2351516358302559,-0.1998069736558195,-0.1901093620836295,-0.3083626159041265
S9_O2,-0.13090217156263528,-0.2788191723954332,-0.35781719747921215,-0.0039957902383276,-0.0193580792036128,-0.0925327178201055
R1_S6,-0.04178605450183462,-0.5422344784752529,-0.3372471965372502,0.2659357501009809,0.1692818386311767,-0.0098013941456239
S10_O9,-0.05127633205608739,-0.16837133315321173,-0.014807276645620426,-0.1050492209912346,-0.0781933975612545,0.0302509229132725
R3_S10,-0.1898952184327666,-0.42810032295822326,-0.3063478412217896,-0.2971996260691923,-0.300817809939554,-0.2002241236611812
R3_O10,0.1233991395856231,-0.05837098440473332,0.0573109282467783,0.221286006927132,0.1626959489069797,0.1007223741542495
S1_O2,-0.12735692273655808,-0.23009984522381743,-0.031326875076145067,0.2332231501358554,0.2216822293760867,0.0307201393742568
R7_O3,-0.10570984250235838,-0.06998757702170866,-0.03595205510135191,-0.2761435826307687,-0.2732591429523021,-0.27309580492737
R2_O6,-0.10965834618052717,-0.17060034494163534,-0.16320140374282976,-0.1834161736870037,-0.065504860799136,-0.4391785822011863
R8_O5,-0.001174277908366994,-0.05120836942194562,0.06474957227781841,0.1999173271170635,0.0719429685979017,0.0101769515878312
S1_O9,-0.06479199684722614,-0.14892423003481836,0.06745548742652252,-0.0180218738243311,-0.0323116140152502,-0.0935568928024914
S5_O7,-0.03670873587916135,-0.13488198790494366,0.005115008627964102,-0.0298807903358981,-0.0312262614865113,-0.0780713896383543
S6_O6,-0.06337504975789732,-0.20914649351108694,-0.09989624699895394,-0.1323687674966663,0.0255431094501267,-0.03406480800184
R8_O1,-0.04684413162879286,0.0028337931068092015,0.1567016204988696,-0.0735476495386029,-0.0371210901203484,-0.0302305400853598
R4_S2,-0.046791681884033154,-0.21616350547862928,0.06233420159706293,-0.4848184699493097,-0.3219419440385594,-0.1504947690814831
S2_O5,0.05420255038124733,-0.11285887920308069,0.26672252593334744,0.2028921835011455,0.2146755576884519,0.1348020093271332
R7_O8,-0.004263783070873828,-0.08095534651776459,-0.028042744546436627,-0.0469385812938699,-0.0916919400139676,-0.0592770539418064
S5_O3,-0.06067658884095195,-0.1588572335830576,0.05369036192648435,-0.2904237237365734,-0.0730887515278927,-0.1449005507539202
S7_O7,-0.012419937309771756,-0.0881569359688894,-0.10350588838481412,0.0027001884504896,0.0254286482233788,0.0546605407195462
R10_O4,0.04767920317211205,-0.031578935925938634,0.1619699084057924,0.0336834486902401,0.0143038558956049,0.0503660672457973
R5_O4,-0.23980717529965356,-0.18904619518533194,-0.17643246074338848,-0.2878061638500637,-0.2753753348888517,-0.3881588633933774
S7_O4,-0.05398521839136605,-0.15530489918653756,-0.08522548502529559,-0.1986008176462234,-0.1456661412781956,0.0604311504690092
S8_O8,0.029551119889896782,-0.17093015005155943,-0.031011807289466287,0.0208460240287123,-0.0827227340859975,0.0079928632390635
R10_S8,0.18780168446050843,0.04936529222318087,0.16811440780455925,-0.1213922641404881,-0.0353115411899933,0.0111535942114884
R8_S3,-0.23321323099281865,-0.33477243108210974,-0.17288185587507565,-0.1738300246585202,-0.1621918504774806,-0.1496602096396807
R6_O8,-0.04701565390262652,-0.06007155907377815,-0.08650348691022347,-0.1647163802374821,-0.1614204362699297,-0.123497342942716
R4_O7,-0.07955577667723279,-0.12961856318374254,-0.11477097383839374,-0.1749262491435701,-0.0580367361502729,-0.1339593042609806
R9_O10,0.02852923627570836,-0.1457074133827383,-0.018918531047834808,0.1321949284979983,0.1672851399447426,0.1081204046992629
R6_S5,-0.17216035699375815,-0.18486562178803667,-0.19104957387961574,-0.4106319514504272,-0.340724644718381,-0.3706568679717303
R8_O3,-0.014590905363955908,-0.033672154257164744,0.11209793090168096,-0.056179041540342,-0.0622180487663787,0.0110979477579818
S5_O2,-0.06569430046333968,-0.2228719760542568,-0.11611944723318879,0.2288287484285894,0.2180860665938505,0.006793161870644
R7_S8,-0.07924826171602373,-0.3024533003701253,-0.1948405534827931,-0.2960948323475602,-0.2885829187429669,-0.2907782700262635
R3_O9,-0.06065459367401793,-0.13869100839173232,0.0513689321790427,0.0668908985797514,0.0533519911487656,0.0567739544519473
R3_O3,-0.07313812560518285,-0.11667498676509935,0.0699920335656119,0.0515583004713707,0.0646885570005032,-0.0231996197179393
S8_O4,-0.017690233278380818,-0.18783369502835767,-0.03690858175087275,-0.2491254107264108,-0.1903277328634411,-0.1127984615981338
R1_S5,0.056126446536082064,-0.4974066020666923,-0.23299180726524513,-0.1498764311204121,-0.1473707587356172,-0.3738343803996172
R4_S3,-0.2122165311605555,-0.3438882618489707,-0.357799828068336,-0.541610701732665,-0.5336862683941296,-0.458110836325847
S4_O7,0.03012791889647115,-0.11534280027707533,0.007974057242304822,0.0486604590351594,0.0049145477641372,-0.0698588196541
R7_S7,-0.10218785953670118,-0.22625622879938967,-0.2581497394270033,-0.2672853431293378,-0.1781797913661638,-0.0645872841890484
R1_O6,0.005830864238252742,-0.15929070884714847,-0.024942823276029147,0.0380908102132057,0.1667643056531693,-0.343251743181369
R5_O8,-0.023898154677170602,-0.2207201309484339,-0.06221711736985891,-0.0055814394261625,-0.1727222607236381,-0.1922027232166351
R9_O4,-0.16818045691800942,-0.08427832977020189,-0.0808169047817191,-0.3542751377019164,-0.3332434916123832,-0.2925857101446854
S9_O5,-0.049908376240867414,-0.15161334281475858,-0.08337989668059076,-0.3088935953831672,-0.2545929426334105,0.0825396444999827
R6_O4,-0.22131464719366845,-0.14119294649948722,-0.19199843674974004,-0.3278402371546765,-0.2965448959426167,-0.3776649252208869
S3_O6,-0.11147955165602896,-0.22541535755851339,-0.15494533204946648,-0.1201131047510667,-0.0109949300242791,-0.1190340652511757
R5_S2,-0.2839939841186104,-0.575735712870048,-0.041497949842552895,-0.1920341865581561,-0.1847981413076681,-0.2262627763570471
R3_S6,-0.20932296287735064,-0.4448160445654116,-0.23169027807805032,-0.0277778595221161,-0.0306636043480625,-0.2450481520970871
R9_S6,-0.1792631135695154,-0.5597938569798151,-0.2929952028690387,-0.7219439972413393,-0.5856709714393022,-0.364268773318631
R6_S8,-0.0913445059634761,-0.23638057923533629,-0.251272906631763,-0.4693928279896922,-0.4088272856746553,-0.4308319164414964
R7_S6,-0.14224426160784487,-0.31452412386698436,-0.25016971965575513,-0.3602621756977525,-0.2020285678698491,-0.2690306865517611
S8_O1,-0.10307551184256392,-0.1810973723339815,0.09871997707768121,-0.2558816129159629,-0.0107169218038843,0.0978729356100658
S4_O10,0.1364065325296162,-0.07392455802624909,0.018187191697303984,0.2762110962520399,0.1344740215464379,0.0955258157805855
S5_O6,0.001494125366045207,-0.17436398399449282,0.007321744706470401,0.1039791073124194,0.1200652488182728,-0.2021142819080701
R1_O2,0.24879383579880843,-0.1538379997952548,-0.006725400382051827,0.4464345381059539,0.1815289690665173,-0.0245550312281065
R4_O6,-0.09568358474861127,-0.10910743314939442,-0.13394351138688276,-0.1134746769066027,-0.0581897541551013,-0.3785969804576172
R1_O4,-0.12067734118223816,-0.16575661730183944,-0.032702192245100514,-0.3646788712598803,-0.1467426551022455,-0.3544808574924954
S10_O4,-0.09233854777705153,-0.1945722894079156,-0.05690181160537411,-0.3757375200103911,-0.2854169688435375,-0.1087593298142304
R5_O1,-0.20833692490834577,-0.1333874733915712,-0.00343201677300331,-0.3320413818672388,-0.153978305025167,-0.222915754050367
R8_O7,0.006265694532645361,-0.042483343449264854,0.07051006757035938,0.1059463477153352,0.0668538721909974,0.0216023412052315
R8_O8,0.05949724037826476,-0.047742440514953355,0.07454036172590128,0.0653751955447115,-0.0230707769511804,0.0504977207139519
S8_O6,-0.0018037953479714819,-0.21655030862525315,-0.04415997125136539,0.0992934299527324,0.1437118593492012,0.0136657367294435
R9_S9,-0.2044235103833863,-0.5866453469589854,-0.424531903051334,-0.6295112578754161,-0.5961252416530879,-0.3588605742787008
R10_O8,0.17402328858377247,0.11702341372609504,0.2725845661981847,0.1679281534589199,0.1988135575089022,0.2083797153632906
R2_S2,-0.05781428573811387,-0.26315004545431664,0.016819995400316923,-0.4129806926970038,-0.3556503899943761,-0.2290398647958333
S4_O5,0.01747396942329771,-0.147590778423361,0.08496828630735598,0.2095490421251759,0.3004404870843195,0.2517510015468701
R5_S1,-0.3184116157561356,-0.6186601806682323,-0.26001578279486903,-0.3057927100826428,-0.0955184929385817,-0.1057695964946235
R4_S10,-0.10598930022193565,-0.21951361891236876,-0.21869444773817137,-0.629235641350105,-0.6687891066776711,-0.371905655181221
S4_O6,0.05860718190154124,-0.13670692499765646,0.0002770412465329386,0.0481670972139234,0.1492066153301485,-0.0396504649816268
R9_S1,-0.15783854064069264,-0.5519058105158359,-0.13586775529694417,-0.4075640541546914,-0.1943166131213697,-0.3512995583803142
R9_O9,-0.09249106554204234,-0.052760968451949886,0.006733021263098049,-0.1667039483411422,-0.0707856175858649,-0.0823118718544302
R3_S8,-0.14507074508358336,-0.4356077991383592,-0.1657007946862607,-0.2411319091652035,-0.1106686651387307,-0.1447751983678254
R5_S7,-0.23468564434618688,-0.5526861152706288,-0.4607282363868134,-0.2198631850240036,-0.2014910838413913,-0.0528245807249012
R10_O9,0.0846626934040724,0.06630967189251402,0.22965926248924973,0.0347756126234169,0.0725614821489523,0.2600345765565281
R6_S4,-0.05497143013870209,-0.18403703631083546,-0.21192304135050577,-0.3030159764280276,-0.2261106021727,-0.3357464216413462
R6_S6,-0.16370523469020204,-0.2415222606129186,-0.3085594003550227,-0.7492739003375837,-0.7104439141866741,-0.4851964142520916
S3_O5,-0.10210767732573767,-0.21885068545973518,-0.0345138746167597,-0.0924552995106777,0.0263687188859735,0.1192081005980952
S9_O4,-0.10542886517539318,-0.17860898128718095,-0.17454208970844354,-0.2289593175245187,-0.1699142988062228,-0.0932559882559537
R3_O4,-0.12205991036813746,-0.1885643897324185,-0.04080110371208323,-0.138216930530511,-0.1574622259072536,-0.1823760645868369
R10_S2,0.16720150997458283,0.0879130402645707,0.3848727736918651,0.1285522700751842,0.2577501412481605,0.47169931826275
R7_S9,-0.19893517653987264,-0.3080346980620122,-0.36107692031273825,-0.6160159189276717,-0.6677515876211768,-0.3654268727031276
R1_S10,-0.007813632694282091,-0.5111951970857007,-0.4202261436325323,0.0324189561895135,-0.117478395936169,-0.0034418693864764
S5_O8,0.055090874074650964,-0.11822671713183519,0.03316615087773833,-0.0010291392958093,-0.0549172210979513,-0.065178676229248
S2_O8,0.0742758401564716,-0.07516932391572984,0.2883934245576101,0.0635631504853974,-0.0836441683405926,0.1413443637601855
R6_S7,-0.11681257766657649,-0.1538690194685287,-0.30969336559237587,-0.3888870962794514,-0.2341175794938765,-0.2492763181535811
R9_S10,-0.14563849683332086,-0.5463795396702891,-0.3655335926072911,-0.581856682309088,-0.6085593343593043,-0.2271048752029142
R6_O3,-0.15872962527045065,-0.07723234582112282,-0.08671937529479545,-0.5469937821033685,-0.4022015731775927,-0.3674730781471542
R6_O10,-0.03424785954064058,-0.1111657737718359,-0.11867786332175445,0.037675093970573,0.0078212247256403,-0.1028987128229325
R8_S10,-0.10395961739044973,-0.20808164107764004,-0.035031546380402234,-0.4066518126959542,-0.3881269441503006,-0.179968471311875
R8_S9,-0.16125891667111703,-0.21845712541653595,-0.16303442770848942,-0.1093447145169145,-0.1770284986156788,-0.12784349900678
